Goal,Game,Type
barbuta: purchase the pin,Barbuta,Easy
barbuta: speak to 2 different bean npcs,Barbuta,Easy
barbuta: fill 5 item slots (you start at 1),Barbuta,Medium
barbuta: visit 25+ rooms,Barbuta,Medium
barbuta: defeat the mimic,Barbuta,Hard
barbuta: obtain the rod and blood sword,Barbuta,Hard
barbuta: pay the hammer man to destroy the wall,Barbuta,Very Hard
bug hunter: get 15 kills by the end of day 4,Bug Hunter,Easy
bug hunter: get 4 pit kills in one job,Bug Hunter,Easy
bug hunter: complete a job,Bug Hunter,Medium
bug hunter: use good-jobs; beat job 1 on {{dig1}}{{dig2}}{{dig3}}{{dig4}}{{dig5}}{{dig6}},Bug Hunter,Medium
bug hunter: complete a job with your energy maxed out,Bug Hunter,Hard
bug hunter: work-less allowed; complete job {{bughunterjob}},Bug Hunter,Hard
bug hunter: gold disk,Bug Hunter,Very Hard
ninpek: collect 5 purple eggs from enemies,Ninpek,Easy
"ninpek: score 6,000+ points",Ninpek,Easy
ninpek: collect a coffee without ever firing a shot,Ninpek,Medium
ninpek: have 6 extra lives at once,Ninpek,Medium
ninpek: collect 3 crowns,Ninpek,Hard
"ninpek: score 18,000+ points",Ninpek,Hard
"ninpek: use hard-loop; score 22,000+ points",Ninpek,Very Hard
"paint chase: even-coat allowed; beat courses 16, 17, and 20 while destroying all spike mines",Paint Chase,Easy
paint chase: score 90+ points,Paint Chase,Easy
paint chase: beat 5 different courses with no enemies remaining,Paint Chase,Medium
paint chase: beat 6 courses,Paint Chase,Medium
paint chase: even-coat allowed; pass courses 18-25,Paint Chase,Hard
paint chase: score 180+ points,Paint Chase,Hard
paint chase: score 350+ points,Paint Chase,Very Hard
magic garden: defeat an enemy worth 700+ points,Magic Garden,Easy
magic garden: use over-grow; save 30+ oppies in a run,Magic Garden,Easy
"magic garden: have 100+ oppies saved with fewer than 4,000 points",Magic Garden,Medium
"magic garden: score 10,000+ points with fewer than 50 oppies saved",Magic Garden,Medium
magic garden: gold disk,Magic Garden,Hard
magic garden: obtain a score multiplier of 8x,Magic Garden,Hard
"magic garden: win with a score of 50,000+",Magic Garden,Very Hard
mortol: collect 6 extra life pickups,Mortol,Easy
mortol: open-tomb allowed; kill 6 enemy spawners in 2-b using fire arrows,Mortol,Easy
mortol: clear all levels in world 1,Mortol,Medium
mortol: have 50+ lives,Mortol,Medium
mortol: open-tomb allowed; clear 3 levels with +12 lives or better on each,Mortol,Hard
mortol: open-tomb allowed; clear all world 2 levels,Mortol,Hard
mortol: open-tomb allowed; beat all world 3 & world 4 levels,Mortol,Very Hard
velgress: clear out a shop's stock,Velgress,Easy
velgress: hold 50+ coins at once,Velgress,Easy
velgress: beat level 1 while defeating all enemies using your blaster,Velgress,Medium
